observation_date,FEDFUNDS,CORESTICKM159SFRBATL,INDPRO,LAYOFFS,UNCERTAINTY
12/1/2000,6.4,2.9838403,92.3459,30.83262655,117.9637031
1/1/2001,5.98,2.8896431,91.8903,43.60441513,102.0415788
2/1/2001,5.49,2.9893325,91.2915,41.50791234,113.9973413
3/1/2001,5.31,2.9711853,91.0526,23.7397376,121.3001101
4/1/2001,4.8,3.1007641,90.7293,54.2965158,119.8722938
5/1/2001,4.21,3.0843327,90.2577,47.72196474,105.9255211
6/1/2001,3.97,3.2118098,89.7677,49.88164395,85.44336921
7/1/2001,3.77,3.2190557,89.226,47.18944846,115.0911824
8/1/2001,3.65,3.2635089,89.1326,49.34041353,79.31255787
9/1/2001,3.07,3.3990087,88.6679,56.20854437,183.4214416
10/1/2001,2.49,3.4934371,88.3926,54.74175547,253.3224181
11/1/2001,2.09,3.6122717,87.8774,63.89376631,154.0513261
12/1/2001,1.82,3.5754587,87.8344,55.34970952,121.5843929
1/1/2002,1.73,3.5684398,88.4665,51.34217806,118.2496302
2/1/2002,1.74,3.5387817,88.4661,31.0049513,81.10277627
3/1/2002,1.73,3.480145,89.1228,42.14465584,93.7445572
4/1/2002,1.75,3.4775061,89.5532,60.68107367,84.11918901
5/1/2002,1.75,3.4632677,89.934,43.72178706,96.06678325
6/1/2002,1.75,3.2512149,90.6769,44.54916242,102.6803436
7/1/2002,1.73,3.2740984,90.6455,47.33487482,157.8072603
8/1/2002,1.74,3.1567969,90.5475,42.31327817,113.923542
9/1/2002,1.75,3.0374651,90.6381,35.90339903,108.9958073
10/1/2002,1.75,2.9477485,90.4041,38.90824673,120.5102838
11/1/2002,1.34,2.8341831,90.8985,46.16562334,137.8296361
12/1/2002,1.24,2.8018315,90.389,38.14555445,148.5022748
1/1/2003,1.24,2.7875531,91.1355,42.58111523,155.646396
2/1/2003,1.26,2.7046594,91.2502,47.48065931,181.2058755
3/1/2003,1.25,2.6277872,91.0059,44.67939687,218.9046434
4/1/2003,1.26,2.4593491,90.4281,35.60845759,149.5224212
5/1/2003,1.26,2.3483407,90.4073,46.70520578,120.1631243
6/1/2003,1.22,2.27155,90.5218,45.31589744,100.258994
7/1/2003,1.01,2.237208,90.9896,41.91072565,100.0315851
8/1/2003,1.03,2.1655338,90.7858,43.53410579,89.09131029
9/1/2003,1.01,2.1842475,91.3829,43.59648779,77.55192885
10/1/2003,1.01,2.1611133,91.5005,36.20741598,70.41489098
11/1/2003,1,2.0365931,92.1265,32.73328613,63.23221758
12/1/2003,0.98,1.976213,92.1722,44.17085537,73.00921015
1/1/2004,1,1.9607229,92.327,31.7478958,79.70394578
2/1/2004,1.01,2.0481367,92.8873,33.56693668,77.78299671
3/1/2004,1,2.1370611,92.5325,38.96123109,66.4662062
4/1/2004,1,2.2577613,92.9096,33.59945935,64.14601384
5/1/2004,1,2.2378638,93.5838,35.37475204,76.2119141
6/1/2004,1.03,2.3794884,92.8621,43.46612556,86.30182565
7/1/2004,1.26,2.2638524,93.5511,23.81603209,72.92359743
